experiment_id,recorded_at,model,run_id,region,mission,cycles_start,cycles_end,stencil_k,n_features,features,hyperparameters,rmse_u,rmse_v,r2_u,r2_v
ann_20260710_010916_7f6c43,2026-07-10T01:18:14,ann,,uswc,calval,474,578,1,9,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v,SST","{""ann_hidden_layers"": [256, 256, 128], ""ann_activation"": ""relu"", ""ann_dropout"": 0.0, ""ann_lr"": 0.0001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 1024, ""ann_max_epochs"": 10, ""ann_patience"": 5, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 1, ""random_state"": 42}",0.08401954557722936,0.09903388874366167,0.4702872847125805,0.5246718830206875
ann_20260710_013856_7fbaec,2026-07-10T02:17:41,ann,,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [512, 512, 512, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 5, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.04945567497247251,0.06258513383524274,0.8164679108154106,0.8101685304045354
ann_20260710_031340_76b6ca,2026-07-10T05:38:33,ann,job_02,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [512, 512, 512, 512, 512, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.048035212214986446,0.061015154439037406,0.8268593001175498,0.8195731076063171
ann_20260710_031340_4f43f1,2026-07-10T05:38:55,ann,job_01,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [512, 512, 512, 512, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.047450902670571206,0.061125533376345874,0.831045914344139,0.8189197177180493
ann_20260710_053833_61f30f,2026-07-10T09:24:37,ann,job_03,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [512, 512, 512, 512, 512, 512, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.04861461383254031,0.06253673642915526,0.8226572568365007,0.8104620121899566
ann_20260710_053855_98f558,2026-07-10T09:37:23,ann,job_04,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [512, 512, 512, 512, 512, 512, 512, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.04905723481054719,0.062258393511399106,0.8194132546185375,0.8121454754871074
ann_20260710_092437_712d60,2026-07-10T11:48:29,ann,job_05,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [512, 512, 512, 512, 512, 512, 512, 512, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.04922101511185748,0.0631452440136707,0.8182054440615358,0.8067555049692288
ann_20260710_144008_cb846a,2026-07-10T16:33:11,ann,job_01,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [256, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.057301002526318125,0.0699365729811804,0.7536207198440911,0.7629529615314166
ann_20260710_144008_c54ae5,2026-07-10T16:36:30,ann,job_02,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [256, 256, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.051050888019021044,0.06455232106253005,0.8044371565574623,0.7980473462764538
ann_20260710_163311_09b48c,2026-07-10T16:54:38,ann,job_03,uswc,calval,474,578,3,8,"mdt,ssha_filtered,ugos_filtered,vgos_filtered,ugosa_filtered,vgosa_filtered,era5_u,era5_v","{""ann_hidden_layers"": [256, 256, 256, 256], ""ann_activation"": ""relu"", ""ann_dropout"": 0.1, ""ann_lr"": 0.001, ""ann_weight_decay"": 0.0001, ""ann_batch_size"": 4096, ""ann_max_epochs"": 250, ""ann_patience"": 15, ""ann_val_fraction"": 0.1, ""ann_device"": ""auto"", ""stencil_k"": 3, ""random_state"": 42}",0.0509228778237584,0.06370882066428955,0.8054166753199207,0.8032906646978539
